name,description,module,path
"brainstorming","Facilitate interactive brainstorming sessions using diverse creative techniques and ideation methods","core","_bmad/core/workflows/brainstorming/workflow.md"
"party-mode","Orchestrates group discussions between all installed BMAD agents, enabling natural multi-agent conversations","core","_bmad/core/workflows/party-mode/workflow.md"
"Meal Prep & Nutrition Plan","Creates personalized meal plans through collaborative nutrition planning between an expert facilitator and individual seeking to improve their nutrition habits.","bmb","_bmad/bmb/workflows/create-agent/data/reference/workflows/meal-prep-nutrition/workflow.md"
"create-agent","Interactive workflow to build BMAD Core compliant agents with optional brainstorming, persona development, and command structure","bmb","_bmad/bmb/workflows/create-agent/workflow.md"
"create-module","Interactive workflow to build complete BMAD modules with agents, workflows, and installation infrastructure","bmb","_bmad/bmb/workflows/create-module/workflow.md"
"create-workflow","Create structured standalone workflows using markdown-based step architecture","bmb","_bmad/bmb/workflows/create-workflow/workflow.md"
"edit-agent","Edit existing BMAD agents while following all best practices and conventions","bmb","_bmad/bmb/workflows/edit-agent/workflow.md"
"edit-workflow","Intelligent workflow editor that helps modify existing workflows while following best practices","bmb","_bmad/bmb/workflows/edit-workflow/workflow.md"
"workflow-compliance-check","Systematic validation of workflows against BMAD standards with adversarial analysis and detailed reporting","bmb","_bmad/bmb/workflows/workflow-compliance-check/workflow.md"
"brainstorm-game","Facilitate game brainstorming sessions with game-specific context, guidance, and game design techniques.","bmgd","_bmad/bmgd/workflows/1-preproduction/brainstorm-game/workflow.yaml"
"create-game-brief","Creates a comprehensive Game Brief through collaborative step-by-step discovery to capture game vision before detailed design.","bmgd","_bmad/bmgd/workflows/1-preproduction/game-brief/workflow.md"
"game-brief","Interactive game brief creation workflow that guides users through defining their game vision with multiple input sources and conversational collaboration","bmgd","_bmad/bmgd/workflows/1-preproduction/game-brief/workflow.yaml"
"create-gdd","Creates a comprehensive Game Design Document through collaborative step-by-step discovery between game designer and user.","bmgd","_bmad/bmgd/workflows/2-design/gdd/workflow.md"
"gdd","Game Design Document workflow for all game project levels - from small prototypes to full AAA games. Generates comprehensive GDD with game mechanics, systems, progression, and implementation guidance.","bmgd","_bmad/bmgd/workflows/2-design/gdd/workflow.yaml"
"narrative","Narrative design workflow for story-driven games. Creates comprehensive narrative documentation including story structure, character arcs, world-building, dialogue systems, and production planning.","bmgd","_bmad/bmgd/workflows/2-design/narrative/workflow.yaml"
"game-architecture","Collaborative game architecture workflow for AI-agent consistency. Intelligent, adaptive conversation that produces a decision-focused game architecture document covering engine, systems, networking, and technical design optimized for game development.","bmgd","_bmad/bmgd/workflows/3-technical/game-architecture/workflow.yaml"
"generate-project-context","Creates a concise project-context.md file with critical rules and patterns that AI agents must follow when implementing game code. Optimized for LLM context efficiency.","bmgd","_bmad/bmgd/workflows/3-technical/generate-project-context/workflow.md"
"code-review","Perform an ADVERSARIAL Senior Developer code review that finds 3-10 specific problems in every story. Challenges everything: code quality, test coverage, architecture compliance, security, performance. NEVER accepts `looks good` - must find minimum issues and can auto-fix with user approval. Game-specific focus on 60fps, feel, and platform considerations.","bmgd","_bmad/bmgd/workflows/4-production/code-review/workflow.yaml"
"correct-course","Navigate significant changes during sprint execution by analyzing impact, proposing solutions, and routing for implementation","bmgd","_bmad/bmgd/workflows/4-production/correct-course/workflow.yaml"
"create-story","Create the next user story markdown from epics/PRD and architecture, using a standard template and saving to the stories folder","bmgd","_bmad/bmgd/workflows/4-production/create-story/workflow.yaml"
"dev-story","Execute a story by implementing tasks/subtasks, writing tests, validating, and updating the story file per acceptance criteria","bmgd","_bmad/bmgd/workflows/4-production/dev-story/workflow.yaml"
"retrospective","Run after epic completion to review overall success, extract lessons learned, and explore if new information emerged that might impact the next epic","bmgd","_bmad/bmgd/workflows/4-production/retrospective/workflow.yaml"
"sprint-planning","Generate and manage the sprint status tracking file for Phase 4 implementation, extracting all epics and stories from epic files and tracking their status through the development lifecycle","bmgd","_bmad/bmgd/workflows/4-production/sprint-planning/workflow.yaml"
"sprint-status","Summarize sprint-status.yaml for game project, surface risks, and route to the right implementation workflow.","bmgd","_bmad/bmgd/workflows/4-production/sprint-status/workflow.yaml"
"create-tech-spec","Conversational spec engineering for games - ask questions, investigate code, produce implementation-ready tech-spec.","bmgd","_bmad/bmgd/workflows/bmgd-quick-flow/create-tech-spec/workflow.yaml"
"quick-dev","Flexible game development - execute tech-specs, implement features, or refactor code with game-specific considerations.","bmgd","_bmad/bmgd/workflows/bmgd-quick-flow/quick-dev/workflow.yaml"
"quick-prototype","Rapid game prototyping - quickly test gameplay ideas, mechanics, or features with minimal setup.","bmgd","_bmad/bmgd/workflows/bmgd-quick-flow/quick-prototype/workflow.yaml"
"gametest-automate","Generate automated game tests for Unity, Unreal, or Godot based on test design scenarios","bmgd","_bmad/bmgd/workflows/gametest/automate/workflow.yaml"
"gametest-performance","Design performance testing strategy for frame rate, memory, and loading times","bmgd","_bmad/bmgd/workflows/gametest/performance/workflow.yaml"
"gametest-playtest-plan","Create structured playtesting sessions for gameplay validation and user feedback","bmgd","_bmad/bmgd/workflows/gametest/playtest-plan/workflow.yaml"
"gametest-test-design","Create comprehensive game test scenarios covering gameplay, progression, and quality requirements","bmgd","_bmad/bmgd/workflows/gametest/test-design/workflow.yaml"
"gametest-framework","Initialize game test framework architecture for Unity, Unreal Engine, or Godot projects","bmgd","_bmad/bmgd/workflows/gametest/test-framework/workflow.yaml"
"gametest-test-review","Review test quality, coverage, and identify gaps in game testing","bmgd","_bmad/bmgd/workflows/gametest/test-review/workflow.yaml"
"workflow-init","Initialize a new BMGD game project by determining level, type, and creating workflow path","bmgd","_bmad/bmgd/workflows/workflow-status/init/workflow.yaml"
"workflow-status","Lightweight status checker - answers """"what should I do now?"""" for any game dev agent. Reads YAML status file for workflow tracking. Use workflow-init for new projects.","bmgd","_bmad/bmgd/workflows/workflow-status/workflow.yaml"
